"id_shop","Name","Address","Phone"
"1","Свежий выбор","Кемерово","83665873434"
"2","Вкусный дом","Астрахань","84627502355"
"3","Городской урожай","Новосибирск","80353560365"
"4","Продуктовый рай","Екатеринбург","83655066723"
"5","Семейное изобилие","Казань","81440274393"
"6","Кухня радости","Челябинск","82787230234"
"7","Зеленый базар","Самара","89395035632"
"8","Домашний вкус","Омск","83673356023"
"9","Едим дома","Ровнов-На-Дону","82351145563"
"10","Урожайные ряды","Уфа","84365324025"
"11","Гурмания","Красноярск","84966250345"
"12","Бахча","Воронеж","83456250364"
"13","Пищевой дворик","Пермь","82395443035"
"14","Магнат продуктов","Волгоград","82564542340"
"15","Овощной бум","Краснодар","82345342034"
"16","Корзинка вкуса","Саратов","85230774826"
"17","Природный клад","Тюмень","87235450325"
"18","Аппетитный мир","Тольятти","83464505925"
"19","Закрома Родины","Ижевск","83240594364"
"20","Сытный уголок","Барнаул","83459435265"
"21","Радуга вкусов","Ульяновск","84593460035"
"22","Дары природы","Хабаровск","83956540352"
"23","Хлебосольный двор","Владивосток","83904503353"
"24","Витаминка","Ярославль","83053467214"
"25","Изобилие","Иркутск","83201252164"
"26","Поле вкуса","Оренбург","83200215235"
"27","Трапезная лавка","Новокузнецк","82390214632"
"28","Рынок свежих идей","Рязань","83060942156"
"29","Гармония вкуса","Пенза","82302145143"
"30","Панорама вкуса","Томск","82034549234"
"31","Альфа-бетта","Липецк","8346391204"
"32","Гамма","Тюмень","83567153902"
"34","Крольчонок","Новозыбков","84820174836"
